Carrera,Grupo,Clave,Materia,CRN,Profesor,Dia,Hora inicio,Hora Fin,Aula,Modalidad
Abogado,3A,IC873,DERECHO MERCANTIL I,150346,GUZMAN ARRAÑAGA KARLA CRISTINA,MARTES,10,12,C12,HIBRIDA
Abogado,3A,REC01,RECREACION Y APROVECHAMIENTO,,,MARTES,12,14,AULA-RECREACION-6,
Abogado,3A,IC886,DERECHO PENAL I,150366,GONZALEZ BORBOA RAUL,MARTES,14,16,AUD2,HIBRIDA
Abogado,3A,IC873,DERECHO MERCANTIL I,150346,GUZMAN ARRAÑAGA KARLA CRISTINA,MARTES,18,19,EL67,HIBRIDA
Abogado,3A,IC908,ESTUDIO DE CASO DE INSTITUCIONES JURIDICAS III,150936,CORTES JOSE GILBERTO,MIERCOLES,8,10,A16,TOTAL PRESENCIAL
Abogado,3A,IC866,LENGUA EXTRANJERA III,151184,TORNERO RODRIGUEZ IVAN DE JESUS,MIERCOLES,10,12,B3,TOTAL PRESENCIAL
Abogado,3A,REC01,RECREACION Y APROVECHAMIENTO,,,MIERCOLES,12,14,AULA-RECREACION-8,
Abogado,3A,IC884,DERECHO CONSTITUCIONAL I,150206,PARRA MAGAÑA FATIMA,MIERCOLES,14,16,A11,HIBRIDA
Abogado,3A,IC886,DERECHO PENAL I,150366,GONZALEZ BORBOA RAUL,MIERCOLES,18,20,EL69,HIBRIDA
Abogado,3A,IC881,DERECHO CIVIL II,150148,LIZAOLA ZEPEDA GRACIELA GUADALUPE,JUEVES,8,10,C12,HIBRIDA
Abogado,3A,IC891,DERECHO ADMINISTRATIVO,158060,LOZA URIBE YARIELA ESTHER DE MONSERRAT,JUEVES,12,14,A11,
Abogado,3A,REC01,RECREACION Y APROVECHAMIENTO,,,JUEVES,14,16,AULA-RECREACION-6,
Abogado,3A,IC863,INTERPRETACION Y ARGUMENTACION JURIDICA,151113,QUIJAS RAMIREZ SANDRA JANETH,JUEVES,16,18,A12,HIBRIDA
Abogado,3A,IC891,DERECHO ADMINISTRATIVO,158060,LOZA URIBE YARIELA ESTHER DE MONSERRAT,JUEVES,18,19,EL91,
Abogado,3A,IC884,DERECHO CONSTITUCIONAL I,150206,PARRA MAGAÑA FATIMA,VIERNES,18,19,EL96,HIBRIDA
Abogado,3A,IC863,INTERPRETACION Y ARGUMENTACION JURIDICA,151113,QUIJAS RAMIREZ SANDRA JANETH,SABADO,15,16,EL31,HIBRIDA
Abogado,3A,IC887,DERECHO INDIVIDUAL DEL TRABAJO,150259,HERNANDEZ GONZALEZ ADRIANA,SABADO,18,19,EL69,HIBRIDA
Abogado,3B,IC881,DERECHO CIVIL II,150149,PARRA MAGAÑA FATIMA,LUNES,18,19,EL90,HIBRIDA
Abogado,3B,IC881,DERECHO CIVIL II,150149,PARRA MAGAÑA FATIMA,MARTES,8,10,B14,HIBRIDA
Abogado,3B,REC01,RECREACION Y APROVECHAMIENTO,,,MARTES,10,12,AULA-RECREACION-1,
Abogado,3B,IC884,DERECHO CONSTITUCIONAL I,150207,GUZMAN ARRAÑAGA KARLA CRISTINA,MARTES,12,14,A3,HIBRIDA
Abogado,3B,IC908,ESTUDIO DE CASO DE INSTITUCIONES JURIDICAS III,150953,CORTES JOSE GILBERTO,MIERCOLES,10,12,A1,TOTAL PRESENCIAL
Abogado,3B,IC866,LENGUA EXTRANJERA III,151185,TORNERO RODRIGUEZ IVAN DE JESUS,MIERCOLES,12,14,B6,TOTAL PRESENCIAL
